EmployeeNumber,Age,Age_Group,Gender,Department,JobRole,BusinessTravel,DistanceFromHome,Education,EducationField,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,Salary_Band,OverTime,TotalWorkingYears,Experience_Band,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,StockOptionLevel,MaritalStatus,Attrition
2,49,45-54,Male,"Research & Development","Research Scientist",Travel_Frequently,8,1,"Life Sciences",2,2,3,4,3,5130,Medium,No,10,"6-10 Years",10,7,1,7,1,3,23,4,1,Married,No
4,37,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,2,Other,1,3,4,2,3,2090,Low,Yes,7,"6-10 Years",0,0,0,0,6,3,15,3,0,Single,Yes
5,33,25-34,Female,"Research & Development","Research Scientist",Travel_Frequently,3,4,"Life Sciences",1,3,4,3,3,2909,Low,Yes,8,"6-10 Years",8,7,3,0,1,3,11,3,0,Married,No
7,27,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,2,1,Medical,1,2,1,4,3,3468,Medium,No,6,"6-10 Years",2,2,2,2,9,3,12,3,1,Married,No
8,32,25-34,Male,"Research & Development","Laboratory Technician",Travel_Frequently,2,2,"Life Sciences",1,4,4,3,2,3068,Medium,No,8,"6-10 Years",7,7,3,6,0,2,13,3,0,Single,No
10,59,55+,Female,"Research & Development","Laboratory Technician",Travel_Rarely,3,3,Medical,1,1,3,1,2,2670,Low,Yes,12,"11-20 Years",1,0,0,0,4,3,20,4,3,Married,No
11,30,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,24,1,"Life Sciences",1,3,4,2,3,2693,Low,No,1,"0-2 Years",1,0,0,0,1,2,22,4,1,Divorced,No
12,38,35-44,Male,"Research & Development","Manufacturing Director",Travel_Frequently,23,3,"Life Sciences",3,3,4,2,3,9526,High,No,10,"6-10 Years",9,7,1,8,0,2,21,4,0,Single,No
13,36,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,27,3,Medical,2,3,3,2,2,5237,Medium,No,17,"11-20 Years",7,7,7,7,6,3,13,3,2,Married,No
14,35,35-44,Male,"Research & Development","Laboratory Technician",Travel_Rarely,16,3,Medical,1,2,1,3,3,2426,Low,No,6,"6-10 Years",5,4,0,3,0,5,13,3,1,Married,No
15,29,25-34,Female,"Research & Development","Laboratory Technician",Travel_Rarely,15,2,"Life Sciences",2,3,4,4,3,4193,Medium,Yes,10,"6-10 Years",9,5,0,8,0,3,12,3,0,Single,No
16,31,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,26,1,"Life Sciences",1,3,1,4,2,2911,Low,No,5,"3-5 Years",5,2,4,3,1,1,17,3,1,Divorced,No
18,34,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,19,2,Medical,1,4,2,3,3,2661,Low,No,3,"3-5 Years",2,2,1,2,0,2,11,3,1,Divorced,No
19,28,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,24,3,"Life Sciences",1,3,3,2,3,2028,Low,Yes,6,"6-10 Years",4,2,0,3,5,4,14,3,0,Single,Yes
20,29,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,21,4,"Life Sciences",3,1,2,3,3,9980,High,No,10,"6-10 Years",10,9,8,8,1,1,11,3,1,Divorced,No
21,32,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,5,2,"Life Sciences",1,2,1,4,2,3298,Medium,Yes,7,"6-10 Years",6,2,0,5,0,5,12,3,2,Divorced,No
22,22,"Under 25",Male,"Research & Development","Laboratory Technician",Non-Travel,16,2,Medical,1,4,4,2,2,2935,Low,Yes,1,"0-2 Years",1,0,0,0,1,2,13,3,2,Divorced,No
